# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	16305
#@/user_id	795262db-87d0-4783-b0bf-776301b58950
a 	啊	c=234 d=2.55875 t=16075
bu zan cheng 	不贊成	c=1 d=1 t=11427
bu zhao 	不着	c=1 d=1 t=2708
bu zhe me yong le 	不這麼用了	c=1 d=1 t=15456
bu zhi dao 	不知道	c=33 d=1.73069 t=13541
bu zhi dao ne 	不知道呢	c=3 d=1.03035 t=13476
bu zhi qian 	不值錢	c=0 d=0.1 t=11729
bu zhi wei he 	不知爲何	c=1 d=1 t=8424
bu zhou 	步驟	c=1 d=1 t=15065
bu zhu 	補助	c=1 d=1 t=12965
ca ca 	擦擦	c=0 d=0.1 t=4849
ca ta 	擦他	c=2 d=1 t=15698
cai 	才	c=3 d=1.0136 t=12846
cai 	菜	c=3 d=0.100005 t=13668
cai 	財	c=0 d=0.199005 t=9523
cai bu guan ni xin li zen me xiang 	才不管你心裏怎麼想	c=1 d=1 t=12448
cai cai 	菜菜	c=0 d=0.1 t=3048
cai dao 	猜到	c=0 d=0.1 t=8300
cai dao shi zhe yang 	猜到是這樣	c=1 d=1 t=8301
cai dui 	纔對	c=1 d=1 t=10988
cai gei 	纔給	c=1 d=1 t=14231
cai hao 	纔好	c=1 d=1 t=9775
cai hong 	彩虹	c=4 d=1.00005 t=8294
cai hong ji tuan 	彩虹集團	c=1 d=1 t=4962
cai jia mo 	菜夾饃	c=1 d=1 t=12547
cai le 	裁了	c=1 d=1 t=10248
cai liao 	材料	c=1 d=1 t=7184
cai mai 	才賣	c=1 d=1 t=8448
cai neng 	才能	c=1 d=0.1 t=14292
cai neng na dao qian 	才能拿到錢	c=1 d=1 t=14293
cai ni 	裁你	c=1 d=1 t=10253
cai suan 	纔算	c=1 d=1 t=2306
cai xin 	菜心	c=1 d=1 t=9465
cai yi tian 	才一天	c=1 d=1 t=5393
cai ying wen 	蔡英文	c=1 d=1 t=1210
cai yong 	採用	c=0 d=0.1 t=16118
cai yong he zhong 	採用何種	c=1 d=1 t=16119
cai zheng 	財政	c=0 d=0.1 t=1515
cai zheng da quan 	財政大全	c=1 d=1 t=1516
can 	慘	c=1 d=0.1 t=14423
can jia 	參加	c=1 d=1 t=14176
can kao 	參考	c=0 d=0.1 t=10614
can kao xia 	參考下	c=3 d=1 t=15503
can shu 	參數	c=3 d=1 t=14528
cang 	倉	c=0 d=0.1 t=4510
cang ku 	倉庫	c=0 d=0.1 t=15878
cao xin 	操心	c=0 d=0.1 t=1161
cao zuo 	操作	c=10 d=1.00011 t=16291
cao zuo le 	操作了	c=1 d=1 t=9079
cao zuo xi tong 	操作系統	c=4 d=1.00004 t=16244
ce 	測	c=0 d=0.1 t=6639
ce shi 	測試	c=5 d=2.03372 t=15369
ce shi huan jing 	測試環境	c=1 d=1 t=10901
ce shi ji 	測試機	c=1 d=1 t=15890
ce shi xia 	測試下	c=1 d=1 t=10650
ce suo 	廁所	c=5 d=1.18467 t=4351
ce yi xia 	測一下	c=1 d=1 t=10669
ceng tang 	蹭糖	c=1 d=1 t=13597
cha 	差	c=0 d=0.1 t=10459
cha 	插	c=0 d=0.1 t=5210
cha bie 	差別	c=1 d=1 t=7885
cha bu duo 	差不多	c=6 d=0.100101 t=15718
cha bu duo ba 	差不多吧	c=1 d=1 t=12871
cha bu duo le 	差不多了	c=1 d=1 t=11126
cha cha 	喳喳	c=1 d=1 t=4373
cha cha 	查查	c=2 d=0.480983 t=14248
cha chu 	查出	c=1 d=1 t=2272
cha chu lai 	查出來	c=0 d=0.1 t=11232
cha dao 	查到	c=0 d=0.1 t=12666
cha jia 	差價	c=1 d=1 t=15205
cha jian 	插件	c=5 d=1.99751 t=8697
cha jue 	察覺	c=0 d=0.1 t=11873
cha kan 	查看	c=8 d=1.13863 t=16303
cha kan ri zhi 	查看日誌	c=2 d=1.00021 t=15903
cha le 	插了	c=1 d=1 t=5713
cha le 	查了	c=1 d=0.1 t=13260
cha le xia 	查了下	c=1 d=1 t=13261
cha ping 	差評	c=1 d=1 t=9916
cha ru 	插入	c=1 d=0.199105 t=5706
cha ru de ba 	插入的吧	c=1 d=1 t=5707
cha ru shu ju de hua 	插入數據的話	c=1 d=1 t=5162
cha shu ju 	插數據	c=1 d=1 t=5211
cha xun 	查詢	c=3 d=0.918731 t=14610
cha xun de 	查詢的	c=1 d=1 t=10677
cha xun na ge 	查詢那個	c=1 d=1 t=14611
cha yi xia 	查一下	c=2 d=1 t=14075
cha zhe me duo 	差這麼多	c=2 d=1 t=13854
cha zuo 	插座	c=1 d=1 t=3311
chai ji 	拆機	c=0 d=0.1 t=6842
chai ji pan 	拆機盤	c=1 d=1 t=6843
chai qian 	差遣	c=1 d=1 t=2687
chai qian 	拆遷	c=1 d=1 t=2688
chan jia 	產假	c=0 d=0.1 t=5866
chan jian 	產檢	c=6 d=2.94726 t=12877
chan le 	饞了	c=1 d=1 t=6011
chan pin 	產品	c=1 d=1 t=14179
chan wu 	產物	c=1 d=1 t=12438
chang 	常	c=1 d=1 t=5893
chang an qu 	長安區	c=1 d=1 t=6476
chang chang 	嘗嘗	c=0 d=0.1 t=6721
chang dian 	長電	c=0 d=0.1 t=4168
chang dian gao xin 	長電高新	c=1 d=1 t=4169
chang gao 	長高	c=0 d=0.1 t=4171
chang gao dian xin 	長高電新	c=1 d=1 t=4172
chang ming 	腸鳴	c=1 d=1 t=5462
chang shi 	嘗試	c=1 d=1 t=2743
chang shi 	常識	c=0 d=0.1 t=462
chang shi jian 	長時間	c=0 d=0.1 t=14940
chang wei 	腸胃	c=0 d=0.1 t=2258
chang wei bu da hao 	腸胃不大好	c=1 d=1 t=2259
chang yan 	腸炎	c=1 d=1 t=2282
chang zi 	腸子	c=1 d=1 t=2278
chao 	抄	c=0 d=0.1 t=4998
chao 	炒	c=0 d=0.1 t=1565
chao 	超	c=0 d=0.1 t=4996
chao duan 	超短	c=1 d=1 t=6331
chao guo le 	超過了	c=0 d=0.1 t=12113
chao ji 	超季	c=1 d=1 t=8788
chao ji 	超級	c=0 d=0.1 t=628
chao ji hui yuan 	超級會員	c=1 d=1 t=629
chao le 	超了	c=1 d=1 t=1188
chao pi gu le 	超屁股了	c=1 d=1 t=4997
chao shi 	超市	c=2 d=1.96079 t=4735
chao shi 	超時	c=1 d=1 t=383
chao shi de 	潮溼的	c=1 d=1 t=4734
chao song 	抄送	c=1 d=1 t=13512
che 	撤	c=1 d=0.496531 t=4698
che 	車	c=3 d=1.00176 t=16009
che hui 	撤回	c=0 d=0.1 t=12612
che hui le ba 	撤回了吧	c=1 d=1 t=12613
che le 	扯了	c=1 d=1 t=9344
che liang 	車輛	c=1 d=1 t=10160
che pi 	扯皮	c=0 d=0.1 t=6808
che pi bei 	扯皮唄	c=1 d=1 t=6809
che wei 	車位	c=0 d=0.1 t=543
che wei hai you 	車位還有	c=1 d=1 t=544
che xian 	車險	c=2 d=1.92774 t=10299
che you 	車友	c=1 d=1 t=536
chen 	臣	c=0 d=0.1 t=4665
chen 	陳	c=0 d=0.1 t=11155
chen me 	沉麼	c=1 d=1 t=3385
chen qian qian 	陳倩倩	c=1 d=1 t=11156
chen yin que 	陳寅恪	c=2 d=1.99501 t=8728
chen zhe 	趁着	c=0 d=0.1 t=10180
chen zhe nian qing 	趁着年輕	c=1 d=1 t=10181
cheng 	城	c=0 d=0.1 t=6027
cheng 	成	c=5 d=1.00027 t=15159
cheng 	撐	c=1 d=1 t=10051
cheng bu zhu le 	撐不住了	c=1 d=1 t=5055
cheng du 	成都	c=2 d=1.99501 t=13383
cheng gong 	成功	c=4 d=0.139772 t=15758
cheng gong de 	成功的	c=1 d=1 t=12340
cheng gong le 	成功了	c=2 d=1.07847 t=3864
cheng jiao 	成交	c=1 d=0.100011 t=10719
cheng jie 	承接	c=1 d=1 t=7444
cheng le 	撐了	c=1 d=1 t=12768
cheng qing 	澄清	c=0 d=0.100002 t=10966
cheng qing le 	澄清了	c=1 d=1 t=8842
cheng qing xia 	澄清下	c=1 d=1 t=10967
cheng shi 	城市	c=1 d=1.08564 t=2060
cheng wei 	成爲	c=0 d=0.1 t=13700
cheng wei hui yi 	成爲回憶	c=1 d=1 t=13701
cheng xu 	程序	c=2 d=1 t=14595
cheng xu yuan 	程序員	c=2 d=1.99005 t=9473
chi 	喫	c=23 d=1.00019 t=15168
chi 	池	c=0 d=0.1 t=11061
chi ba 	喫吧	c=2 d=1.36972 t=11262
chi bu 	喫不	c=0 d=0.1 t=9038
chi bu dao 	喫不到	c=1 d=1 t=6461
chi bu liao 	喫不了	c=1 d=0.1 t=7397
chi bu shang 	喫不上	c=0 d=0.1 t=11565
chi bu shang fan 	喫不上飯	c=1 d=1 t=11566
chi bu shu fu 	喫不舒服	c=1 d=1 t=9039
chi cheng le 	喫撐了	c=1 d=1 t=9041
chi dai 	癡呆	c=0 d=0.1 t=2226
chi dai le 	癡呆了	c=1 d=1 t=2227
chi dao 	喫到	c=1 d=1 t=5020
chi dao 	遲到	c=0 d=0.1 t=4289
chi dao bu e 	喫到不餓	c=2 d=1.00035 t=2656
chi de 	喫得	c=6 d=0.118787 t=13342
chi de 	喫的	c=2 d=1 t=9481
chi de hai xing 	喫的還行	c=1 d=1 t=6776
chi de qi 	喫得起	c=1 d=1 t=13077
chi de shao 	吃得少	c=1 d=1 t=3303
chi de shen me 	吃的什麼	c=1 d=1 t=7057
chi de shi hou 	喫的時候	c=2 d=1 t=10208
chi de zen me yang 	喫得怎麼樣	c=1 d=1 t=13343
chi de zhe xie 	喫的這些	c=1 d=1 t=7025
chi dian 	喫點	c=7 d=1.03972 t=8916
chi dian cai cai 	喫點菜菜	c=2 d=1 t=5590
chi dian fen si ye xing 	喫點粉絲也行	c=1 d=1 t=3972
chi dian jian guo 	喫點堅果	c=1 d=1 t=7557
chi duo shao 	喫多少	c=1 d=1 t=6502
chi fan 	喫飯	c=3 d=0.10092 t=14016
chi fan de shi hou 	喫飯的時候	c=1 d=1 t=2663
chi fan qu 	喫飯去	c=0 d=0.1 t=4654
chi fan sha de 	喫飯啥的	c=1 d=1 t=13079
chi fan ye bu fang bian 	喫飯也不方便	c=1 d=1 t=11830
chi fang bian mian 	喫方便麪	c=1 d=1 t=1269
chi guo 	喫過	c=0 d=0.100001 t=9098
chi kui 	喫虧	c=0 d=0.1 t=14447
chi le 	喫了	c=1 d=0.1 t=13493
chi le 	遲了	c=0 d=0.1 t=3724
chi le a 	吃了啊	c=1 d=1 t=5344
chi le ge 	吃了個	c=2 d=1.09501 t=13489
chi le ge ji dan 	吃了個雞蛋	c=1 d=1 t=13490
chi mi fan 	吃米飯	c=1 d=1 t=5623
chi mian 	喫麪	c=0 d=0.1 t=3400
chi na ge 	喫那個	c=2 d=0.606617 t=7906
chi na ge ba 	喫那個吧	c=1 d=1 t=5629
chi na me duo 	喫那麼多	c=2 d=1.00546 t=9038
chi pang xie 	喫螃蟹	c=1 d=1.09851 t=3585
chi qi lai 	喫起來	c=2 d=1.00006 t=7766
chi sha 	喫啥	c=3 d=0.1 t=12759
chi sha 	癡傻	c=0 d=0.1 t=1005
chi sha chi de 	喫啥喫的	c=1 d=1 t=5465
chi sha le 	喫啥了	c=1 d=1 t=12760
chi shen me 	喫什麼	c=3 d=1.00704 t=13441
chi tai duo 	喫太多	c=2 d=0.1 t=7026
chi tai duo le 	喫太多了	c=1 d=1 t=7027
chi wai mai 	喫外賣	c=2 d=1 t=12883
chi wan 	喫完	c=2 d=1.0002 t=5041
chi wan fan 	喫完飯	c=2 d=1.02411 t=3396
chi wu fan 	喫午飯	c=1 d=1 t=12773
chi xu 	持續	c=0 d=0.1 t=9405
chi xu xing 	持續性	c=0 d=0.1 t=9400
chi ye 	弛夜	c=1 d=1 t=5037
chi ye suan 	喫葉酸	c=1 d=1 t=3572
chi yi dian 	喫一點	c=1 d=0.1 t=8000
chi yi dun 	喫一頓	c=1 d=1 t=3695
chi zhe 	喫着	c=1 d=1.02049 t=5248
chi zhe mei shi 	喫着沒事	c=1 d=1 t=4932
chong 	充	c=0 d=0.1 t=9360
chong 	重	c=2 d=1.01486 t=16301
chong ba 	重八	c=1 d=1 t=12344
chong dan 	沖淡	c=0 d=0.1 t=12812
chong dan yi xia 	沖淡一下	c=1 d=1 t=12813
chong fu le 	重複了	c=2 d=1 t=13202
chong gou 	重構	c=0 d=0.1 t=11607
chong gou yi xia 	重構一下	c=1 d=1 t=11608
chong jian 	重建	c=3 d=2.82807 t=15115
chong jian le 	重建了	c=1 d=1.01851 t=3186
chong qi 	重啓	c=16 d=1.9192 t=15682
chong qi le 	重啓了	c=3 d=1 t=10236
chong qi zhi hou 	重起之後	c=1 d=1 t=15722
chong tu 	衝突	c=1 d=0.1 t=11043
chong wu 	寵物	c=1 d=1 t=4586
chong xin 	重新	c=5 d=1.82696 t=15716
chong xin pei zhi 	重新配置	c=1 d=1 t=7138
chong xin zhu ce de hua 	重新註冊的話	c=1 d=1 t=13265
chong xu 	沖虛	c=1 d=1 t=14594
chong zhi 	充值	c=0 d=0.1 t=620
chong zhi 	重置	c=1 d=1 t=3129
chong zhuang 	重裝	c=1 d=1 t=15056
chong zhuang xi tong 	重裝系統	c=1 d=1.07531 t=15052
chong zhuang xi tong le 	重裝系統了	c=1 d=1 t=15053
chou 	丑	c=0 d=0.1956 t=6201
chou chu 	抽搐	c=0 d=0.1 t=2256
chou chu dian shi jian 	抽搐點時間	c=1 d=1 t=2257
chou de ren 	丑的人	c=1 d=1 t=6202
chou kong 	抽空	c=1 d=1 t=11454
chu 	出	c=0 d=0.1 t=11256
chu chai 	出差	c=0 d=0.1 t=13384
chu chai bu tie 	出差補貼	c=1 d=1 t=13385
chu ci 	楚辭	c=1 d=1 t=7577
chu fa 	出發	c=1 d=1 t=14980
chu ge 	出個	c=2 d=1.00013 t=12343
chu ge sha 	出個啥	c=1 d=1 t=9909
chu guo 	出國	c=0 d=0.1 t=11506
chu guo you sha 	出國有啥	c=1 d=1 t=6406
chu lai 	出來	c=1 d=0.100269 t=10223
chu lai de 	出來的	c=1 d=1 t=3640
chu lai le mei 	出來了沒	c=1 d=1 t=2845
chu le 	出了	c=0 d=0.1 t=11510
chu le 	除了	c=7 d=1.07136 t=14007
chu le guo 	出了國	c=1 d=1 t=11511
chu le guo 	除了過	c=1 d=1 t=11510
chu li 	處理	c=11 d=1.98625 t=16218
chu li qi 	處理器	c=1 d=1 t=583
chu li yi xia 	處理一下	c=2 d=1 t=14169
chu qi 	初期	c=1 d=1 t=12491
chu qu 	出去	c=4 d=1.06397 t=11259
chu qu ba 	出去吧	c=1 d=1 t=526
chu qu chi 	出去喫	c=2 d=1.02678 t=1739
chu qu le 	出去了	c=1 d=1 t=5751
chu qu le xia 	出去了下	c=1 d=1 t=3036
chu shen 	出身	c=1 d=1 t=10089
chu shen me 	出什麼	c=1 d=1 t=6541
chu shou 	出手	c=0 d=0.1 t=11461
chu wa 	除娃	c=1 d=1 t=13844
chu wen ti le 	出問題了	c=1 d=1 t=4275
chu xian 	出現	c=0 d=0.1 t=1138
chu xian le 	出現了	c=1 d=1 t=13220
chu yan 	初言	c=1 d=1 t=12403
chu yao e zi le 	出幺蛾子了	c=1 d=1 t=6348
chu yu 	出於	c=1 d=1 t=1095
chu yu 	處於	c=1 d=1 t=1094
chu zai 	處在	c=0 d=0.1 t=2236
chu zhi 	處置	c=0 d=0.1 t=128
chua 	欻	c=0 d=0.1 t=6079
chuan 	穿	c=1 d=0.1 t=9818
chuan han fu 	穿漢服	c=1 d=1 t=9819
chuan sha 	穿啥	c=1 d=1 t=6203
chuan shang qu 	傳上去	c=1 d=1 t=5452
chuan shang qu 	穿上去	c=0 d=0.1 t=5450
chuan shang qu le 	穿上去了	c=1 d=1 t=5451
chuan shu 	傳輸	c=1 d=1 t=7886
chuan tou 	穿透	c=0 d=0.1 t=10035
chuan zhe 	穿着	c=1 d=1 t=6200
chuan zhe yang de 	穿這樣的	c=1 d=1 t=6297
chuang 	牀	c=1 d=1 t=1450
chuang 	窗	c=0 d=0.1 t=313
chuang chuang 	闖闖	c=0 d=0.1 t=10181
chuang hu 	窗戶	c=0 d=0.1 t=298
chuang jian 	創建	c=7 d=1.02852 t=16279
chuang jian de 	創建的	c=2 d=1 t=15562
chuang jian duo shao ge 	創建多少個	c=1 d=1 t=7809
chuang jian le 	創建了	c=1 d=1 t=15604
chuang jian le ge 	創建了個	c=1 d=1 t=5153
chuang shang 	牀上	c=0 d=0.1 t=2182
chuang shou 	創收	c=1 d=1 t=12698
chuang wai 	窗外	c=0 d=0.1 t=2772
chui qing 	垂青	c=1 d=1 t=1988
chui ta 	鎚他	c=1 d=1 t=6713
chun 	春	c=5 d=1.97531 t=15762
ci 	次	c=4 d=1 t=15410
ci 	詞	c=1 d=0.1 t=11871
ci er 	詞兒	c=0 d=0.1 t=12420
ci hou 	伺候	c=1 d=1 t=8981
ci ji 	刺激	c=0 d=0.1 t=3623
ci ji le yi xia 	刺激了一下	c=1 d=1 t=3624
ci ku 	詞庫	c=2 d=0.1 t=16298
ci le 	辭了	c=0 d=0.1 t=8142
ci pan 	磁盤	c=3 d=1.1754 t=15077
ci pan huai le 	磁盤壞了	c=1 d=1 t=25
ci shu 	辭書	c=0 d=0.1 t=760
ci xin gu 	次新股	c=1 d=1 t=11161
ci yu 	次於	c=1 d=1 t=210
ci yu 	詞語	c=1 d=1 t=211
ci zhi 	辭職	c=1 d=1 t=8149
ci zhi le 	辭職了	c=2 d=1 t=11738
cong 	從	c=10 d=1.00885 t=15462
cong ge ren 	從個人	c=1 d=1 t=14978
cong ju 	從句	c=1 d=1 t=5759
cong lai mei 	從來沒	c=0 d=0.1 t=6759
cong lin 	叢林	c=1 d=1 t=12472
cong na li 	從哪裏	c=1 d=1 t=5981
cong shang dao xia 	從上到下	c=1 d=1 t=12395
cou 	湊	c=1 d=1 t=5878
cou he 	湊合	c=1 d=1 t=3243
cuan ji 	攢機	c=1 d=1 t=16148
cui de 	脆的	c=1 d=1 t=7794
cun 	存	c=1 d=0.1 t=16132
cun chu 	存儲	c=4 d=1.41686 t=15174
cun fang 	存放	c=0 d=0.1 t=10919
cun zai 	存在	c=4 d=1.00015 t=13609
cun zai ji he li 	存在即合理	c=1 d=1 t=12316
cun zai ju xian xing 	存在侷限性	c=1 d=1 t=3031
cun zhe xie 	存這些	c=1 d=1 t=5319
cuo 	錯	c=0 d=0.1 t=13880
cuo le 	錯了	c=1 d=0.101549 t=7676
cuo wu 	錯誤	c=1 d=1 t=6946
da 	大	c=3 d=1.00275 t=12285
da 	打	c=0 d=0.104016 t=4284
da bu fen 	大部分	c=3 d=1 t=14668
da bu fen shi jian 	大部分時間	c=1 d=1 t=680
da bu kai 	打不開	c=2 d=1.95558 t=12189
da bu liao 	大不了	c=1 d=1 t=14340
da che 	打車	c=1 d=0.108107 t=2454
da cong 	大蔥	c=1 d=1 t=6721
da dan 	大膽	c=2 d=1.08291 t=12433
da dao 	大道	c=0 d=0.1 t=5939
da dian hua 	打電話	c=4 d=0.1 t=11501
da duan 	打斷	c=0 d=0.1 t=4603
da duan tui 	打斷腿	c=1 d=1 t=4604
da duo shu 	大多數	c=1 d=1 t=11418
da fa 	打法	c=1 d=1 t=4530
da fan tan 	大反彈	c=1 d=1 t=7693
da gai 	大概	c=4 d=2.03315 t=12961
da gai jiu 	大概就	c=1 d=1 t=12944
da gai shi 	大概是	c=1 d=0.100003 t=8083
da ge dian hua 	打個電話	c=1 d=1 t=5267
da gong 	打工	c=1 d=1 t=10146
da gong zai 	打工仔	c=1 d=1.04649 t=10152
da guo min 	大國民	c=1 d=1 t=11322
da hao 	大號	c=1 d=1 t=1593
da hao ren 	大好人	c=1 d=1 t=9028
da hong 	大紅	c=0 d=0.1 t=5362
da hong xian 	大紅線	c=1 d=1 t=5363
da huo 	大夥	c=0 d=0.1 t=9226
da huo 	大活	c=1 d=1 t=10173
da huo men 	大夥門	c=1 d=1 t=9227
da jia 	大家	c=1 d=1 t=2117
da jia hao 	大家好	c=3 d=1.82696 t=8627
da jia yi qi lai 	大家一起來	c=1 d=1 t=5739
da jian 	搭建	c=5 d=1.83702 t=15418
da jiao dao 	打交道	c=1 d=1 t=10641
da kai 	打開	c=5 d=1 t=15144
da kai jiu shi 	打開就是	c=1 d=1 t=4901
da la 	打蠟	c=2 d=2.0393 t=10320
da lao 	大佬	c=6 d=0.872085 t=11797
da lao ban 	大老闆	c=0 d=0.1 t=10144
da lao ban le 	大老闆了	c=1 d=1 t=10145
da lao wei wu 	大佬威武	c=1 d=1 t=11798
da le 	大了	c=1 d=1 t=5030
da le 	打了	c=0 d=0.170469 t=1445
da li 	打理	c=0 d=0.1 t=11505
da li 	搭理	c=0 d=0.109877 t=6224
da li ta men 	搭理他們	c=1 d=1 t=5762
da liang 	打量	c=0 d=0.1 t=476
da mi 	大米	c=1 d=1 t=7190
da mian 	大面	c=0 d=0.1 t=7222
da mian bu xing 	大面不行	c=1 d=1 t=7223
da ming wang chao 	大明王朝	c=4 d=2.83705 t=8127
da na 	打那	c=1 d=1 t=2293
da pan 	大盤	c=2 d=1.01265 t=7388
da pei 	搭配	c=1 d=1 t=731
da pi gu 	大屁股	c=5 d=1 t=13656
da pi gu 	打屁股	c=1 d=1 t=6447
da qi lai 	打起來	c=1 d=1 t=9408
da qian tian 	大前天	c=1 d=1 t=1551
da quan 	大全	c=0 d=0.1 t=1515
da qun 	大羣	c=0 d=0.1 t=12308
da qun li fa 	大羣裏發	c=1 d=1 t=12309
da rou 	大肉	c=1 d=1 t=6462
da shen me 	打什麼	c=1 d=1 t=3180
da shui 	大水	c=0 d=0.1 t=3670
da shui guan 	大水管	c=1 d=1 t=3671
da suan 	打算	c=2 d=1 t=11606
da suan ge 	打算割	c=1 d=1 t=4964
da suan yi min le 	打算移民了	c=1 d=1 t=2442
da ta 	打她	c=2 d=1.00147 t=13497
da ti 	大體	c=1 d=0.815338 t=13727
da ti 	答題	c=1 d=1 t=13659
da tiao 	大跳	c=1 d=1 t=2201
da ting yi xia 	打聽一下	c=1 d=1 t=844
da tui 	大腿	c=1 d=1 t=2539
da wan 	打完	c=0 d=0.1 t=1298
da wan le 	打完了	c=1 d=1 t=10287
da wan na yi ba 	打完那一把	c=2 d=1.82283 t=1338
da wen ti 	大問題	c=1 d=1 t=6336
da wo 	打我	c=0 d=0.1 t=12976
da wo lai 	打我來	c=1 d=1 t=12977
da xiao 	大小	c=2 d=1 t=16305
da xin 	打新	c=1 d=1 t=10995
da xue 	大學	c=1 d=1.00259 t=3089
da xue zui hao 	大學最好	c=1 d=1 t=2230
da yang 	大洋	c=1 d=1 t=8061
da yi dun 	打一頓	c=1 d=1 t=3642
da yi xia wen wen 	打一下問問	c=1 d=1 t=4285
da yi xie 	大一些	c=1 d=1 t=15926
da you xi 	打遊戲	c=0 d=0.1 t=1379
da you xi le 	打遊戲了	c=1 d=1 t=1380
da zeng 	大增	c=0 d=0.1 t=11654
da zhe 	打着	c=1 d=1 t=14469
da zong shang pin 	大宗商品	c=1 d=1 t=6247
dai 	代	c=1 d=1 t=3407
dai 	帶	c=0 d=0.1 t=5059
dai biao 	代表	c=1 d=1 t=11089
dai bu liao 	待不了	c=1 d=1 t=4449
dai de 	帶的	c=1 d=1 t=7791
dai dian nao me 	帶電腦麼	c=1 d=1 t=5060
dai hui jia 	帶回家	c=1 d=1 t=4579
dai hui qu 	帶回去	c=3 d=1.61986 t=9447
dai kuan 	帶寬	c=1 d=0.1 t=14695
dai kuan hai xing 	帶寬還行	c=1 d=1 t=677
dai li 	代理	c=6 d=1.0161 t=15872
dai li fu wu qi 	代理服務器	c=1 d=1 t=7016
dai lian shen 	帶廉神	c=1 d=1 t=2148
dai ma 	代碼	c=4 d=1.00001 t=15468
dai yi fen 	帶一份	c=2 d=1.94176 t=658
dai yu 	待遇	c=1 d=1 t=12704
dai zai 	呆在	c=0 d=0.1 t=1401
dai zhe 	帶着	c=0 d=0.102774 t=1718
dai zhe 	待着	c=0 d=0.1 t=6055
dai zhe ba 	待着吧	c=1 d=1 t=6056
dan 	但	c=0 d=0.100034 t=11874
dan 	單	c=1 d=1 t=8427
dan bai zhi 	蛋白質	c=0 d=0.1 t=6222
dan bu shi 	但不是	c=1 d=1 t=3906
dan chao fan 	蛋炒飯	c=1 d=1 t=8505
dan ding 	淡定	c=1 d=1 t=11709
dan du 	單獨	c=1 d=0.1 t=14629
dan ge 	單個	c=0 d=0.1 t=15426
dan ge ying pan me 	單個硬盤麼	c=1 d=1 t=15427
dan hao 	單號	c=1 d=0.443009 t=8499
dan hao le 	單號了	c=1 d=1 t=8500
dan ni 	但你	c=1 d=1 t=1799
dan shi 	但是	c=45 d=1.12697 t=15921
dan shi jian chang le 	但時間長了	c=1 d=1 t=11875
dan shi zhe ge 	但是這個	c=1 d=1 t=14940
dan tong dao 	單通道	c=1 d=1 t=581
dan wei 	單位	c=1 d=1 t=12226
dan wo 	但我	c=1 d=1 t=14908
dan wu 	耽誤	c=0 d=0.1 t=1287
dan xiang 	單向	c=1 d=1 t=3026
dan xin 	擔心	c=0 d=0.1 t=3417
dan xin ni 	擔心你	c=1 d=1 t=3715
dan yang 	丹陽	c=2 d=1.00038 t=15738
dan ye bu que ding 	但也不確定	c=1 d=1 t=10276
dan ye yao 	但也要	c=1 d=1 t=1839
dan ying gai 	但應該	c=1 d=1 t=4665
dan yuan 	單元	c=2 d=1.70469 t=15223
dan zhe zhong fang shi 	但這種方式	c=1 d=1 t=1176
dang 	當	c=2 d=1.16217 t=11943
dang an 	檔案	c=0 d=0.1 t=7000
dang ran 	當然	c=1 d=1 t=6396
dang shi 	當時	c=4 d=1 t=15192
dang xuan 	當選	c=0 d=0.1 t=11079
dang xuan le 	當選了	c=1 d=1 t=11080
dao 	到	c=14 d=1.00007 t=14806
dao di shi 	到底是	c=1 d=1 t=8619
dao jia 	到家	c=0 d=0.164082 t=13754
dao jia mei 	到家沒	c=1 d=1 t=1215
dao le 	到了	c=2 d=0.1 t=14844
dao le ba bei zi mei 	倒了八輩子楣	c=1 d=1 t=10464
dao ni 	到你	c=0 d=0.1 t=14011
dao qi 	到期	c=0 d=0.1 t=12031
dao qi le 	到期了	c=3 d=1 t=12642
dao qi le me 	到期了麼	c=1 d=1 t=12032
dao qi ti xing 	到期提醒	c=2 d=1.99501 t=8880
dao qi xu fei 	到期續費	c=1 d=1 t=8869
dao shen me 	到什麼	c=1 d=1 t=7647
dao shi 	倒是	c=1 d=0.1 t=10408
dao shi 	導師	c=1 d=1 t=10508
dao shi hou 	到時候	c=15 d=1.31621 t=14914
dao shi hou kan kan 	到時候看看	c=1 d=1 t=12336
dao shi hou kan yi xia 	到時候看一下	c=1 d=1 t=13547
dao tou 	到頭	c=0 d=0.1 t=4556
dao wo men 	到我們	c=1 d=1 t=14703
dao xiang 	導向	c=1 d=1 t=15431
dao zhang 	到帳	c=0 d=0.100049 t=10294
dao zhang 	到賬	c=1 d=1 t=12235
dao zhuang 	倒裝	c=0 d=0.1 t=5759
dao zhuang me 	倒裝麼	c=1 d=1 t=5760
de 	得	c=2 d=1.00003 t=13352
de 	德	c=0 d=0.1 t=11735
de 	的	c=483 d=9.57366 t=16298
de a 	的啊	c=2 d=1.00001 t=12202
de ba 	的吧	c=2 d=1 t=16254
de ban 	地板	c=1 d=1 t=4333
de ban fa 	的辦法	c=1 d=1 t=1114
de dao le 	得到了	c=1 d=1 t=10135
de di fang 	的地方	c=1 d=1 t=530
de dong xi 	的東西	c=1 d=1 t=6705
de fang shi 	地方時	c=1 d=1 t=14683
de fang shi 	的方式	c=1 d=1 t=14684
de gan jue 	的感覺	c=1 d=1 t=14430
